003,000554,1,2020/06/12,10:59:20,000,3
001,000489,1,2020/06/12,11:32:48,000,3
004,000907,0,2020/06/12,12:14:56,000,3
004,000611,0,2020/06/12,12:45:57,000,3
004,000551,0,2020/06/12,13:06:16,000,3
002,000953,0,2020/06/12,13:21:29,000,3
004,000338,0,2020/06/12,13:21:36,000,3
004,000188,0,2020/06/12,13:42:21,000,3
003,000570,1,2020/06/12,13:49:42,000,3
002,000625,0,2020/06/12,13:52:13,000,3
002,000640,0,2020/06/12,14:00:11,000,3
004,000559,0,2020/06/12,14:03:10,000,3
003,000573,1,2020/06/12,14:04:59,000,3
002,000624,0,2020/06/12,14:11:45,000,3
002,000635,0,2020/06/12,14:11:48,000,3
002,000636,0,2020/06/12,14:11:52,000,3
002,001010,0,2020/06/12,14:11:55,000,3
003,000604,1,2020/06/12,14:13:09,000,3
004,000834,0,2020/06/12,14:14:17,000,3
002,000120,0,2020/06/12,14:30:33,000,3
003,000685,1,2020/06/12,14:34:18,000,3
003,000578,1,2020/06/12,14:34:21,000,3
002,000309,0,2020/06/12,14:38:58,000,3
004,000197,0,2020/06/12,14:41:55,000,3
004,000850,0,2020/06/12,14:45:55,000,3
002,000571,0,2020/06/12,14:49:05,000,3
004,001077,0,2020/06/12,14:49:52,000,3
004,000540,0,2020/06/12,14:52:50,000,3
003,001071,1,2020/06/12,14:52:59,000,3
004,001069,0,2020/06/12,14:53:01,000,3
004,000586,0,2020/06/12,14:53:57,000,3
003,001070,1,2020/06/12,14:54:06,000,3
004,000545,0,2020/06/12,14:55:45,000,3
003,000623,1,2020/06/12,14:55:55,000,3
004,000777,0,2020/06/12,14:56:14,000,3
002,000590,0,2020/06/12,14:56:15,000,3
004,000558,0,2020/06/12,14:57:25,000,3
003,000537,1,2020/06/12,14:57:52,000,3
002,000301,0,2020/06/12,14:58:20,000,3
004,000552,0,2020/06/12,14:58:55,000,3
002,000320,0,2020/06/12,14:59:30,000,3
003,000568,1,2020/06/12,15:00:11,000,3
003,001084,1,2020/06/12,15:01:37,000,3
004,000574,0,2020/06/12,15:01:59,000,3
004,000608,0,2020/06/12,15:04:20,000,3
002,001073,0,2020/06/12,15:04:39,000,3
002,000310,0,2020/06/12,15:04:43,000,3
004,000549,0,2020/06/12,15:05:06,000,3
004,000536,0,2020/06/12,15:05:43,000,3
004,000562,0,2020/06/12,15:05:46,000,3
004,000397,0,2020/06/12,15:05:55,000,3
004,000382,0,2020/06/12,15:06:37,000,3
002,000543,0,2020/06/12,15:07:16,000,3
004,000567,0,2020/06/12,15:07:36,000,3
001,000447,1,2020/06/12,15:08:29,000,3
002,000557,0,2020/06/12,15:10:03,000,3
003,000302,1,2020/06/12,15:10:15,000,3
004,000893,0,2020/06/12,15:11:35,000,3
004,001074,0,2020/06/12,15:12:02,000,3
004,001076,0,2020/06/12,15:12:29,000,3
004,001075,0,2020/06/12,15:12:33,000,3
002,000879,0,2020/06/12,15:12:36,000,3
002,000823,0,2020/06/12,15:12:41,000,3
004,001081,0,2020/06/12,15:12:41,000,3
002,000548,0,2020/06/12,15:15:03,000,3
002,000424,0,2020/06/12,15:17:59,000,3
001,000903,1,2020/06/12,15:20:41,000,3
004,000867,0,2020/06/12,15:22:05,000,3
003,001053,1,2020/06/12,15:25:50,000,3
002,000307,0,2020/06/12,15:26:07,000,3
003,000472,1,2020/06/12,15:30:19,000,3
002,000505,0,2020/06/12,15:30:28,000,3
002,000507,0,2020/06/12,15:30:33,000,3
